[caco-web-dev] serving /Users/harryaskham/.cacophony/agents/cacophony/ms-mac-cacophony-caco-web/checkout/crates/caco-web/static at http://127.0.0.1:64961 (proxy daemon: http://127.0.0.1:11100)
[caco-web-dev] pass --port 0 for parallel-safe OS-assigned ports
[caco-web] req=89 GET /api/v1/ui/snapshot -> 200 8002ms
[caco-web] req=91 GET /api/v1/node -> 200 200ms
[caco-web] req=92 GET /api/v1/ui/stream -> 200 0ms
[caco-web] req=93 GET /api/v1/ui/snapshot -> 200 8001ms
[caco-web] req=94 GET /api/v1/ui/snapshot -> 200 8002ms
[caco-web] req=96 GET /api/v1/node -> 200 175ms
[caco-web] req=97 GET /api/v1/ui/stream -> 200 0ms
[caco-web] req=95 GET /api/v1/ui/snapshot -> 200 8002ms
[caco-web] req=98 GET /api/v1/ui/snapshot -> 200 8002ms
[caco-web] req=99 GET /api/v1/merge-queue?since=24h -> 200 6215ms
[caco-web] req=100 GET /api/v1/ui/snapshot -> 200 8002ms
[caco-web] req=101 GET /api/v1/agents/ms-mac-cacophony-caco-macos/files/tree -> 200 13294ms
[caco-web] req=104 GET /api/v1/node -> 200 238ms
[caco-web] req=105 GET /api/v1/ui/stream -> 200 0ms
[caco-web] req=103 GET /api/v1/ui/snapshot -> 200 8002ms
[caco-web] req=106 GET /api/v1/ui/snapshot -> 200 8002ms
[caco-web] req=107 GET /api/v1/ui/snapshot -> 200 8002ms
[caco-web] req=108 GET /api/v1/node -> 200 258ms
[caco-web] req=109 GET /api/v1/ui/stream -> 200 0ms
[caco-web] req=111 GET /api/v1/logs/stream?follow=true -> 200 22ms
[caco-web] req=110 GET /api/v1/ui/snapshot -> 200 8002ms
[caco-web] req=112 GET /api/v1/ui/snapshot -> 200 8002ms
[caco-web] req=114 GET /api/v1/node -> 200 339ms
[caco-web] req=115 GET /api/v1/ui/stream -> 200 0ms
[caco-web] req=113 GET /api/v1/ui/snapshot -> 200 8001ms
[caco-web] req=116 GET /api/v1/ui/snapshot -> 200 8002ms
